"Floor","WORK #","First Name","Last Name","Artwork","Date","Medium","Credit information","Website"
1,"P1","Philippe","Klinefelter","adrift",2010,"granite, wood","Courtesy of the artist","philippeklinefelter.com"
1,1,"John","Jagger","Dancing Horse",2011,"bronze","Courtesy of the artist","sculpterra.com"
1,2,"Skip","Noah","The Judgment of the Owls",2010,"acrylic, pen, pencil","Courtesy of the artist","skipnoah.com"
1,3,"Matthew","Winters","Y'all",2011,"found wood, reclaimed Plexiglas, vinyl, enamel , fluorescent light","Courtesy of the artist","matthewjwinters.com"
1,4,"Sandy","Carson","Bastrop Water Tower, Post Wildfires",2011,"inkjet print","Courtesy of the artist","sandycarson.com"
1,5,"Kristyn","Weaver","Sinking Feeling",2007,"graphite and contact paper on paper","Courtesy of the artist","kristynweaver.com"
1,6,"Barbara","Irwin","Towers of Power-Spiritual Totems",2011,"found object assemblage","Courtesy of the artist","foundobjectart.com"
1,7,"Shanny","Lott","Bohemian Wax Wren",2011,"oils on canvas","Courtesy of the artist","shannysstudio.com"
1,8,"Shanny","Lott","Monarch of the Plains",2011,"laser cut paper leaves/charcoal and pastels","Courtesy of the artist","shannysstudio.com"
1,9,"Rachel","Stewart","Cowgirl",2010,"oil on canvas","Courtesy of the artist","gratefulrachel.com"
1,10,"Werllayne","Nunes","Oxum",2008,"oil on canvas","Courtesy of the artist","werllayne.com"
1,11,"Dana Sprayberry ","and Ann Armstrong","a line…",2010,"no VOC latex paint","Courtesy of the artists and Placing Routes","placingroutes.org"
1,12,"Jennifer","Chenoweth","Hell (Negative) Heaven (Positive)",2011,"oil and charcoal on plasma cut aluminum","Courtesy of the artist","fisterrastudio.com"
1,13,"Lana","Waldrep","Big Cactus",2011,"oil on yupo","Courtesy of the artist","lanawaldrep.com"
1,14,"Werllayne","Nunes","Pirulito",2010,"oil on canvas","Courtesy of the artist","werllayne.com"
1,15,"Sunyong","Chung","Dance",2010,"steel, paper, string [steel portion by Philippe Klinefelter]","Courtesy of the artist","ginkopottery.com"
1,16,"Barna","Kantor","Compound Eye",2010,"mirror, armature","Courtesy of the artist","barnakantor.com"
1,17,"George","Sabra","Plastic Caps Sculpture",2011,"discarded plastic caps and lids and steel","Courtesy of the artist","georgesabra.com"
1,18,"Katy","Nail","Cattail Falls, Big Bend",2011,"oil/linen","Courtesy of the artist","katynail.com"
1,19,"Denise","Prince","First Job",2007,"photography","Courtesy of the artist","deniseprince.com"
1,20,"Walker","Pickering","Meal",2009,"pigment print","Courtesy the artist and B. Hollyman Gallery","walkerpickering.com"
1,21,"Walker","Pickering","Rainbow",2008,"pigment print","Courtesy the artist and B. Hollyman Gallery","walkerpickering.com"
1,22,"Pamela","Sanchez","BrEAKfest",2010,"oil on canvas","Courtesy of the artist","pamelasanchez.com"
1,23,"Hollis","Hammonds","Empty Vessels II",2008,"marker on vinyl","Courtesy of the artist","hollishammonds.com"
1,24,"Kristina","Felix","The Domestic Wilderness",2010,"fabric, wood, thread, hangers","Courtesy of the artist",
1,25,"Olaniyi Rasheed","Akindiya","Asiko: Moments",2010,"mixed media sculpture relief","Courtesy of the artist","artwithakirash.com"
1,26,"Melanie","Schopper","Tile Installation",2011,"porcelain, underglaze, clear glaze","Courtesy of the artist","handmadeaustinwomen.com"
1,27,"Damian","Priour","Symbol Bowl",2004,"limestone, glass","Collection of the City of Austin; Gift of Thomas Properties Group, Inc.","damianpriour.com"
1,28,"Denise","Prince","Your Hands Through My Hair",2009,"photography","Courtesy of the artist","deniseprince.com"
1,29,"Damian","Priour","Irish Rocks",1993,"limestone and glass","Courtesy of Damian Priour Studio","damianpriour.com"
